구매id,리뷰날짜,구매옵션,리뷰내용,리뷰점수,수량
snow*****,2025-11-11T01:13:37.374+00:00,발송일 선택 (당일조리): 11월 7일 금요일 발송,처음 주문해봤는데 가격과 양이 일단 맘에 들어요. 제가 먹어봤는데 32갤아기용으로 간도 잘맞고 덮밥류와 국이 포함된 구성도 무척맘에들어요. 근데 밥태기가 무척심한 입짧은 아기라 3번째 시도하고있는데 먹어보지고 않고 여전히 안먹긴해요 ㅠ 잘먹으면 정기주문하려고 했는데 좀 더 지켜봐야할거 같아요. 얼음팩포장도 꼼꼼하고 좋았습니다. 다음날 점심먹기전에 배송된 점도 좋았구요.,4,1
jh15****,2025-11-22T06:45:03.913+00:00,발송일 선택 (당일조리): 11월 21일 금요일 발송,"5살, 1살 남매 둘이서 너무 잘먹어요! 둘째는 이유식을 거부해서 밥이랑 국, 반찬 따로 주면 엄청 잘먹더라구요 그냥 돌다되어가는김에 하루3끼 밥먹이고 아침수유,저녁수유 1번씩 하니까 스케줄이 딱 맞아서 계속 반찬하는일이 보통일이아니라.. 시켜봤는데 제가 먹어봐도 맛있어요 ! 건더기도 풍부하고 정성이 느껴집니다.. 어쨌든 아이들이 맛있다고 너무 잘먹어요 너무 감사합니다..♡",5,1
ksin****,2025-12-04T07:11:23.730+00:00,발송일 선택 (당일조리): 11월 12일 수요일 발송,"첫날은 입에 맞나 조금 먹는거 같더니
둘째날은 새 반찬으로 줬는데도 안먹네요. 
짜장도 크림떡볶이도 거부하고ㅠㅠ
아기밥 먹이기가 제일 어렵네요.",4,1
yurt****,2025-12-06T15:43:21.761+00:00,발송일 선택 (당일조리): 12월 3일 수요일 발송,밥을 진짜 징하게안먹는 아기라 워킹맘으로써 잘 차려주지못해서 그런것같다는 죄책감이 있었지만 이렇게 훌륭한 식단으로 준비해줘도 먹지읺는 아기를 보며 죄책감을 덜었습니다 맛도 좋고 건강식이여서 제가 잘먹고 있습니다,5,1
stel****,2025-11-23T08:47:43.981+00:00,발송일 선택 (당일조리): 11월 18일 화요일 발송,"이제 15개월 된 아기입니다.
요똥엄마라 매번 밥먹이는게 너무 스트레스인데 우연히 발견해서 후기가 좋길래 구매해봤어요~
아직 위아래 이가 4개씩밖에 없어서 고기나 질긴건 잘 못씹는데 반찬들이 부드러워서 잘삼키더라구요.
제가 먹어도 맛있고 양도 많고 여러가지 골고루 먹일수 있어서 대만족이에요~~",5,1
gohi*******,2025-12-04T09:31:14.352+00:00,발송일 선택 (당일조리): 12월 3일 수요일 발송,"집에서 다양하게 해주고싶지만 쉽지않네요
자극적이지 않고 맛있습니다. 크기도 아이에맞게 작게 잘라 보내주시니 두번 손안가서 더좋아요!",5,1
mind*****,2025-12-05T07:02:47.441+00:00,발송일 선택 (당일조리): 12월 2일 화요일 발송,진짜 징글징글하게 안 먹는 아기라서 아주 조금만 먹거나 아예 안 먹지만 엄마인 제가 맛있게 잘 먹고 있습니다^^ 어차피 뭘 주든 안 먹는 아이라서 한 입이라도 먹는 것 보고 한 달 정기로 곧 신청하려고 합니다^^ 맛있어요~ 간도 과하지 않고 무엇보다 식재료를 이렇게 풍부하게 제가 쓸 수가 없어서 ㅋㅋㅋ 귯,5,1
qwer********,2025-12-01T22:14:12.782+00:00,발송일 선택 (당일조리): 11월 28일 금요일 발송,"다양한 반찬이 깔끔하게 포장해서 
배송되니까 반찬 걱정 없이 먹일수 있어서 좋네요 
다음에 또 이용할게요",5,1
dodo***,2025-12-04T23:17:40.910+00:00,발송일 선택 (당일조리): 12월 3일 수요일 발송,반찬 종류도 다양하고 어른인 제 입맛에도 맛있어요! 앞으로도 자주 주문하겠습니다💕,5,1
a005***,2025-12-08T06:24:40.560+00:00,발송일 선택 (당일조리): 12월 5일 금요일 발송,이번식단은 넘 맛있나봐요  너무 잘먹어요 또달라네요 ㅎㅎ,5,1
kjc-***,2025-12-04T13:23:52.671+00:00,발송일 선택 (당일조리): 11월 21일 금요일 발송,"아이가 잘 먹어서 종종구매하고 있어요
양도 많아서 반찬당 한3번 정도 나눠서 먹을수 있어요
집에서 해주기 어려운 반찬들이라서 좋아요",5,1
tmxb****,2025-12-05T02:07:31.050+00:00,발송일 선택 (당일조리): 11월 26일 수요일 발송,"아기가 잘먹어요
타사 반찬 먹이다가 넘머왔는데 너무 잘먹고 종류도 다양해서 좋네요!",5,1
jang*******,2025-11-12T09:51:08.136+00:00,발송일 선택 (당일조리): 11월 7일 금요일 발송,"진짜 안먹는 아기라서 식단 스트레스도 많이 받고 워킹맘이라 준비하는것도 쉽지 않았는데
아이가 정말 코박고 먹을정도로 너무 잘먹어요
한두입먹고 내려달라하기 일수인데 밥 다먹을때까지 끝까지 앉아있고 스스로 떠먹기도 하고 진짜 맛있나봐요! 정말 감사합니다",5,1
daha***,2025-12-05T14:03:46.882+00:00,발송일 선택 (당일조리): 11월 25일 화요일 발송,"한주치 주문해서 잘먹으면 4주 식단으로 주문하려고 주문했는데 맛있게 잘 먹네요ㅎㅎ
4주치 식단 주문합니다~~~!",5,1
dy****,2025-11-15T22:36:39.031+00:00,발송일 선택 (당일조리): 11월 12일 수요일 발송,"처음 주문하는거라 1주세트만 시켜봤어요
제가 먹어도 너무 맛있더라구요
아기가 입이 짧아서 많이 먹지는 못했지만 잘먹었어요
다음에 또 구매하려구요",5,1
leeg*****,2025-11-07T03:07:55.689+00:00,발송일 선택 (당일조리): 11월 4일 화요일 발송,아기가 편식하는 편인데 너무 잘 먹어요! 특히 국을 정말 잘 먹고 일하느라 제가 해줄 수 없는 요리들까지 다양하게 먹일 수 있어서 좋아요. 배송에 착오가 있었던 적이 있었는데 사장님께서 너무 친절하게 응대해주셔서 감사했고 매번 주문할 거 같아요!! 양도 많아서 넉넉하게 줄 수 있어요,5,1
kky0***,2025-11-12T01:32:34.245+00:00,발송일 선택 (당일조리): 11월 11일 화요일 발송,"아직 먹여보지는 않았지만 구성도 좋고 
깔끔하게 배송 돼서 좋아요 ! 특히 반찬만 있는게 아니고 죽도 하나 들어있는게 좋더라구요 첫주문인데
만족해요 ! 아이가 잘 먹으면 정기주문 할게요 ❤️",5,1
muje*****,2025-11-16T04:55:46.840+00:00,발송일 선택 (당일조리): 11월 14일 금요일 발송,"만족해서 재주문했는데 이번 구성은 좀 별로였어요. 고기량이 좀 부족한 반찬들이었네요.
 까르보나라 떡볶이는 불안해서 못 먹이겠더라구요. 엄마아빠가 먹었습니다... 맛은 있지만 메뉴구성을 다시 생각해 주시면 좋겠어요",4,1
kims*******,2025-11-24T11:35:59.352+00:00,발송일 선택 (당일조리): 11월 18일 화요일 발송,아기 반찬 해주기가 힘들다고 느꼈는데 이거 추천받고 그런 고민 싹 없어졌어요. 16개월 아기가 너무 잘 먹습니다,5,1
dodo***,2025-11-19T05:58:12.695+00:00,발송일 선택 (당일조리): 11월 18일 화요일 발송,집에서는 해주기 번거로운 다양한 재료로 구성되어 있어서 좋습니다. 믿고 구매합니다. 다음에 또 주문하겠습니다.,5,1
eunh*****,2025-12-01T00:39:34.481+00:00,발송일 선택 (당일조리): 11월 26일 수요일 발송,아이가 잘 먹는것도 있고 아닌것도 있지만 양도좋고 맛도 괜찮아 재구매하면서 먹이고 있습니다!,5,1
cont*******,2025-11-19T04:20:16.563+00:00,발송일 선택 (당일조리): 11월 14일 금요일 발송,"잘 안먹는 아기인데 이건 처음엔 잘 먹어요 
그담부턴 또 안먹긴 하는데 처음에 잘먹어서 놀랬어요 
어른이 먹어도 맛있어요 
시킨거 다 먹으면 다시 또 시킬 예정 입니다",5,1
youn****,2025-11-29T10:08:40.214+00:00,발송일 선택 (당일조리): 11월 26일 수요일 발송,맛있고 아이가 잘먹어요 구성이 좋아요,5,1
guit*****,2025-11-25T03:22:42.713+00:00,발송일 선택 (당일조리): 11월 11일 화요일 발송,아기가 잘먹다가 요새는 잘못먹네요 ㅠㅠ 근데 음식은 제가 먹어도 맛있을만큼 맛있습니다ㅜ,5,1
